model,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds,serialized_kb
MicroForest,0.7087475833616005,0.7143903104261817,0.7017790021440041,10.285323000000062,0.025875700000142388,113.7275390625
Random Forest,0.7175962567189804,0.805294796143494,0.7415266578898688,4.062949000000117,0.4518551999999545,3683.02734375
LightGBM,0.7174725559588323,0.7832582412590205,0.743833124680755,5.076739800000269,0.045922499999960564,2418.4296875
